year,co2_ff,co2_tot,co2_lu
1875,0.18429211017180258,1.005598577583856,0.8213064325061358
1876,0.18695192364330515,1.016782503408781,0.8298305972184347
1877,0.19064589473684213,1.0329394055085903,0.8422935456776657
1878,0.19208665394055086,1.045817734387783,0.853731097900191
1879,0.20585478701936188,1.0721672342514317,0.8663124472320699
1880,0.23280807199345513,1.1111963086992092,0.8783882192527952
1881,0.24063471175347698,1.1171495827652032,0.8765148884646851
1882,0.2541381881647123,1.148984757022089,0.8948465688573767
1883,0.2702578980092719,1.1809187150259068,0.9106607646577585
1884,0.27329635342241615,1.1880439901827107,0.914747689119171
1885,0.2753407581128988,1.1913544674120535,0.9160136569402781
1886,0.2796506441232615,1.203418650668121,0.9237680763566949
1887,0.2936355953095173,1.2297096482137988,0.9360740179983639
1888,0.32513665012271614,1.263822503408781,0.9386858183801473
1889,0.32500802181619853,1.2639196814835016,0.938911659667303
1890,0.3540942503408781,1.3300943201527136,0.9760000349059177
1891,0.37056987837469324,1.374277113716935,1.0037072353422416
1892,0.37362819525497687,1.3886887897463869,1.01506059449141
1893,0.36915053395145897,1.4002204483228797,1.0310699841832562
1894,0.3820192637032997,1.4225508808290157,1.0405316520316334
1895,0.4050398909190074,1.453743646577584,1.0487037556585765
1896,0.41824678920098174,1.4767727559312789,1.0585259318243796
1897,0.4380449020998091,1.5075980321788929,1.0695531998909191
1898,0.4620335751295337,1.542333469320971,1.0802998941914372
1899,0.5047466550313608,1.5943663245159532,1.08961970439051
1900,0.532376503954186,1.6524165410417235,1.1200400719934551
1901,0.5499757185710391,1.6862624357785656,1.1362867521134443
1902,0.5638935456776657,1.7170818478320153,1.153188267248432
1903,0.615237881647123,1.7761513171529864,1.1609134355058632
1904,0.6222682127079356,1.7989750400872648,1.1767068273793293
1905,0.6625665361330788,1.845448639214617,1.1828821030815382
1906,0.6959011289882738,1.8839100736296701,1.1880089446413964
1907,0.7868233651486228,1.9810424914098719,1.1942191262612492
1908,0.7571397916553041,1.9592789310062724,1.2021391393509682
1909,0.7873147008453777,2.0002946408508318,1.2129799400054542
1910,0.8256309964548678,2.04122992746114,1.215598861194437
1911,0.8405950935369512,2.0531889740932643,1.212593880556313
1912,0.8803742263430597,2.0776496449413693,1.1972754884101446
1913,0.9523892533406055,2.1516490733569675,1.1992598200163622
1914,0.8640145906735751,2.061287286610308,1.197272695936733
1915,0.852219392418871,2.0364020201799837,1.1841825579492773
1916,0.9198674796836651,2.0913349986364875,1.171467449140987
1917,0.962019586583038,2.1341796389419145,1.1721599825470412
1918,0.9487825644941369,2.1267519389146443,1.1779694442323425
1919,0.8221636520316336,1.995542549222798,1.1733788971911645
